,Image,F1,Jaccard,Recall,Precision
245,archive\images\2858.png,0.17777777777777778,0.0975609756097561,0.09806451612903226,0.95
246,archive\images\2101.png,0.75,0.6,0.914004914004914,0.6358974358974359
247,archive\images\1006.png,0.8794871794871795,0.7848970251716247,0.8661616161616161,0.8932291666666666
248,archive\images\2808.png,0.5471428571428572,0.37659783677482794,1.0,0.37659783677482794
249,archive\images\1803.png,0.9122807017543859,0.8387096774193549,0.9219858156028369,0.9027777777777778
250,archive\images\1491.png,0.8851674641148325,0.7939914163090128,0.8767772511848341,0.893719806763285
251,archive\images\3012.png,0.0,0.0,0.0,0.0
252,archive\images\2566.png,0.8375209380234506,0.7204610951008645,0.7352941176470589,0.9727626459143969
253,archive\images\841.png,0.9485488126649076,0.9021329987452948,0.9755766621438263,0.9229781771501926
254,archive\images\2922.png,0.9476323119777159,0.9004764425622023,0.9935747663551402,0.9057507987220448
255,archive\images\2359.png,0.6760925449871465,0.5106796116504855,0.6269368295589988,0.7336122733612274
256,archive\images\1304.png,0.8827160493827161,0.7900552486187845,0.88,0.8854489164086687
257,archive\images\1063.png,0.8944805194805194,0.8091042584434655,0.8162962962962963,0.9892280071813285
258,archive\images\769.png,0.8398523985239852,0.7239185750636132,0.9192245557350566,0.7730978260869565
259,archive\images\2246.png,0.8740245261984393,0.7762376237623763,0.8653421633554084,0.8828828828828829
260,archive\images\2362.png,0.03125,0.015873015873015872,0.015873015873015872,1.0
261,archive\images\550.png,0.8539325842696629,0.7450980392156863,0.76,0.9743589743589743
262,archive\images\2878.png,0.9003651538862807,0.818785578747628,0.9166224110462029,0.884674525884162
